เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
750794593,22/8/2566 0:00,5.BB,ส่งเเล้ว
750794593,2/6/2566 0:00,8.CC,ส่งเเล้ว
nan,nan,nan,ส่งเเล้ว
750902516,12/6/2566 0:00,7.CCC,ส่งเเล้ว
751005710,29/8/2566 0:00,8.CC,ส่งเเล้ว
750900254,16/5/2566 0:00,6.B+,ส่งเเล้ว
750971619,20/1/2566 0:00,8.CC,ส่งเเล้ว
750971619,6/6/2566 0:00,8.CC,ส่งเเล้ว
750907973,27/2/2566 0:00,7.CCC,ส่งเเล้ว
750907973,5/10/2566 0:00,9.C+,ส่งเเล้ว
310006546,11/8/2566 0:00,7.CCC,ส่งเเล้ว
750934066,26/1/2566 0:00,5.BB,ส่งเเล้ว
750812922,22/3/2566 0:00,4.BBB,ส่งเเล้ว
750910726,11/5/2566 0:00,5.BB,ส่งเเล้ว
750801290,20/10/2566 0:00,7.CCC,ส่งเเล้ว
750801933,20/10/2566 0:00,10.DDD,ส่งเเล้ว
750961820,9/10/2566 0:00,5.BB,ส่งเเล้ว
750671692,28/6/2566 0:00,5.BB,ส่งเเล้ว
750959338,4/8/2566 0:00,6.B+,ส่งเเล้ว
750982064,25/5/2566 0:00,5.BB,ส่งเเล้ว
750937195,9/5/2566 0:00,6.B+,ส่งเเล้ว
750873219,16/5/2566 0:00,6.B+,ส่งเเล้ว
750690246,7/2/2566 0:00,7.CCC,ส่งเเล้ว
750791441,8/8/2566 0:00,8.CC,ส่งเเล้ว
750933946,20/6/2566 0:00,18.sB+,ส่งเเล้ว
750996075,18/5/2566 0:00,16.sBBB,ส่งเเล้ว
750817734,nan,nan,ส่งเเล้ว
750428998,20/10/2566 0:00,17.sBB,ส่งเเล้ว
750903735,23/2/2566 0:00,17.sBB,ส่งเเล้ว
750687431,18/9/2566 0:00,18.sB+,ส่งเเล้ว
750013615,2/2/2566 0:00,16.sBBB,ส่งเเล้ว
750434909,23/3/2566 0:00,16.sBBB,ส่งเเล้ว
750421742,25/5/2566 0:00,17.sBB,ส่งเเล้ว
750811686,15/3/2566 0:00,18.sB+,ส่งเเล้ว
750906730,6/2/2566 0:00,19.sCCC,ส่งเเล้ว
750097991,28/3/2566 0:00,18.sB+,ส่งเเล้ว
750097991,20/2/2566 0:00,16.sBBB,ส่งเเล้ว
750383321,31/3/2566 0:00,19.sCCC,ส่งเเล้ว
750383321,31/5/2566 0:00,19.sCCC,ส่งเเล้ว
750838432,30/6/0566,20.sCC,ส่งเเล้ว
520000322,18/7/2566 0:00,19.sCCC,ส่งเเล้ว
680019111,28/9/2566 0:00,19.sCCC,ส่งเเล้ว
750747938,26/7/2566 0:00,19.sCCC,ส่งเเล้ว
750747941,26/7/2566 0:00,18.sB+,ส่งเเล้ว
750744442,22/9/2566 0:00,21.sC+,ส่งเเล้ว
750689517,26/10/2566 0:00,18.sB+,ส่งเเล้ว
670014180,12/10/2566 0:00,16.sBBB,ส่งเเล้ว
750909204,27/7/2566 0:00,16.sBBB,ส่งเเล้ว
nan,2/10/2566 0:00,21.sC+,ส่งเเล้ว
750444583,19/7/2566 0:00,18.sB+,ส่งเเล้ว
750795156,17/8/2566 0:00,5.BB,ส่งเเล้ว
750946371,7/3/2566 0:00,19.sCCC,ส่งเเล้ว
530005771,19/12/2565 0:00,18.sB+,ส่งเเล้ว
750526533,17/1/2566 0:00,17.sBB,ส่งเเล้ว
750465352,22/2/2566 0:00,18.sB+,ส่งเเล้ว
750906759,6/3/2566 0:00,17.sBB,ส่งเเล้ว
750595371,19/5/2566 0:00,3.A+,ส่งเเล้ว
530002630,1/6/2566 0:00,17.sBB,ส่งเเล้ว
750862034,16/8/2566 0:00,20.sCC,ส่งเเล้ว
530005771,16/8/2566 0:00,16.sBBB,ส่งเเล้ว
750798475,8/9/2566 0:00,16.sBBB,ส่งเเล้ว
750451702,21/2/2566 0:00,17.sBB,ส่งเเล้ว
530005771,13/1/2566 0:00,19.sCCC,ส่งเเล้ว
750381930,9/3/2566 0:00,17.sBB,ส่งเเล้ว
nan,17/8/2566 0:00,16.sBBB,ส่งเเล้ว
750397716,17/7/2566 0:00,17.sBB,ส่งเเล้ว
750894559,30/5/2566 0:00,18.sB+,ส่งเเล้ว
750917636,10/1/2566 0:00,19.sCCC,ส่งเเล้ว
750975070,9/3/2566 0:00,21.sC+,ส่งเเล้ว
750796702,12/9/2566 0:00,19.sCCC,ส่งเเล้ว
750721106,31/7/2566 0:00,19.sCCC,ส่งเเล้ว
750562727,29/5/2566 0:00,16.sBBB,ส่งเเล้ว
55001026,24/2/2566 0:00,22.sDDD,ส่งเเล้ว
750015248,2/5/2566 0:00,17.sBB,ส่งเเล้ว
750232917,8/11/2566 0:00,16.sBBB,ส่งเเล้ว
750455320,5/10/2566 0:00,14.sAA,ส่งเเล้ว
750515631,17/4/2566 0:00,16.sBBB,ส่งเเล้ว
75067712,9/3/2566 0:00,19.sCCC,ส่งเเล้ว
750756300,22/6/2566 0:00,21.sC+,ส่งเเล้ว
750457808,27/4/2566 0:00,18.sB+,ส่งเเล้ว
750912452,12/7/2566 0:00,17.sBB,ส่งเเล้ว
750569124,4/4/2566 0:00,17.sBB,ส่งเเล้ว
750966729,3/1/2566 0:00,18.sB+,ส่งเเล้ว
