เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
750105874,7/12/2566 0:00,18.sB+,ส่งเเล้ว_CR
750995209,8/9/2566 0:00,18.sB+,ส่งเเล้ว_CR
730014293,15/8/2566,16.sBBB,ส่งเเล้ว_CR
750788613,23/8/2566,16.sBBB,ส่งเเล้ว_CR
540001262,23/7/2566,16.sBBB,ส่งเเล้ว_CR
750903679,7/7/2566 0:00,19.sCCC,ส่งเเล้ว_CR
750540605,8/11/2566 0:00,17.sBB,ส่งเเล้ว_CR
750741071,25/7/2566,19.sCCC,ส่งเเล้ว_CR
540003710,8/9/2566 0:00,14.sAA,ส่งเเล้ว_CR
750723958,8/3/2566 0:00,18.sB+,ส่งเเล้ว_CR
510002162,18/7/2566,20.sCC,ส่งเเล้ว_CR
750921351,17/8/2566,17.sBB,ส่งเเล้ว_CR
nan,20/7/2566,18.sB+,ส่งเเล้ว_CR
nan,22/8/2566,18.sB+,ส่งเเล้ว_CR
750867488,15/8/2566,19.sCCC,ส่งเเล้ว_CR
750142067,16/1/2566,4.BBB,ส่งเเล้ว_CR
750847833,25/1/2566,5.BB,ส่งเเล้ว_CR
750847833,25/1/2566,8.CC,ส่งเเล้ว_CR
750765651,1/5/2566 0:00,5.BB,ส่งเเล้ว_CR
750765939,1/9/2566 0:00,3.A+,ส่งเเล้ว_CR
610013853,24/1/2566,9.C+,ส่งเเล้ว_CR
750902516,25/1/2566,9.C+,ส่งเเล้ว_CR
nan,30/1/2566,3.A+,ส่งเเล้ว_CR
750893627,16/12/2565,6.B+,ส่งเเล้ว_CR
750933349,16/12/2565,8.CC,ส่งเเล้ว_CR
nan,2/1/2566 0:00,8.CC,ส่งเเล้ว_CR
nan,24/2/2566,3.A+,ส่งเเล้ว_CR
nan,1/6/2566 0:00,5.BB,ส่งเเล้ว_CR
750934066,26/1/2566,5.BB,ส่งเเล้ว_CR
750810015,2/3/2566 0:00,3.A+,ส่งเเล้ว_CR
750397321,2/6/2566 0:00,11.DD,ส่งเเล้ว_CR
750397349,12/6/2566 0:00,8.CC,ส่งเเล้ว_CR
730046386,29/12/2565,10.DDD,ส่งเเล้ว_CR
750417720,1/5/2566 0:00,8.CC,ส่งเเล้ว_CR
nan,2/3/2566 0:00,4.BBB,ส่งเเล้ว_CR
580001729,2/7/2566 0:00,10.DDD,ส่งเเล้ว_CR
530006666,30/1/2566,5.BB,ส่งเเล้ว_CR
750852910,16/1/2566,21.sC+,ส่งเเล้ว_CR
750645715,13/1/2566,16.sBBB,ส่งเเล้ว_CR
750749689,12/1/2565 0:00,19.sCCC,ส่งเเล้ว_CR
750787339,2/7/2566 0:00,10.DDD,ส่งเเล้ว_CR
750709392,14/2/2566,18.sB+,ส่งเเล้ว_CR
360001654,14/2/2566,19.sCCC,ส่งเเล้ว_CR
750853485,16/2/2566,21.sC+,ส่งเเล้ว_CR
680016967,19/1/2566,16.sBBB,ส่งเเล้ว_CR
630001603,1/9/2566 0:00,16.sBBB,ส่งเเล้ว_CR
520001046,23/1/2566,17.sBB,ส่งเเล้ว_CR
580002368,20/1/2566,22.sDDD,ส่งเเล้ว_CR
630004438,25/1/2566,19.sCCC,ส่งเเล้ว_CR
nan,16/1/2566,17.sBB,ส่งเเล้ว_CR
730036386,23/1/2566,18.sB+,ส่งเเล้ว_CR
750054253,31/1/2566,17.sBB,ส่งเเล้ว_CR
750038728,30/1/2566,18.sB+,ส่งเเล้ว_CR
610021220,25/1/2566,17.sBB,ส่งเเล้ว_CR
610001549,25/1/2566,21.sC+,ส่งเเล้ว_CR
530005771,13/1/2566,19.sCCC,ส่งเเล้ว_CR
nan,31/1/2566,17.sBB,ส่งเเล้ว_CR
610004302,31/1/2566,20.sCC,ส่งเเล้ว_CR
750901574,2/3/2566 0:00,18.sB+,ส่งเเล้ว_CR
730014624,2/7/2566 0:00,17.sBB,ส่งเเล้ว_CR
nan,16/1/2566,18.sB+,ส่งเเล้ว_CR
nan,2/2/2566 0:00,20.sCC,ส่งเเล้ว_CR
610005077,2/9/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750853852,2/7/2566 0:00,19.sCCC,ส่งเเล้ว_CR
nan,24/1/2566,17.sBB,ส่งเเล้ว_CR
750910765,2/7/2566 0:00,17.sBB,ส่งเเล้ว_CR
730019093,24/1/2566,18.sB+,ส่งเเล้ว_CR
540003044,31/1/2566,17.sBB,ส่งเเล้ว_CR
530015194,2/8/2566 0:00,18.sB+,ส่งเเล้ว_CR
nan,24/1/2566,16.sBBB,ส่งเเล้ว_CR
710001230,2/7/2566 0:00,18.sB+,ส่งเเล้ว_CR
750078422,16/2/2566,17.sBB,ส่งเเล้ว_CR
750501295,21/2/2566,16.sBBB,ส่งเเล้ว_CR
750967765,27/1/2566,17.sBB,ส่งเเล้ว_CR
nan,30/1/2566,18.sB+,ส่งเเล้ว_CR
750798436,24/1/2566,15.sA+,ส่งเเล้ว_CR
750825872,23/1/2566,19.sCCC,ส่งเเล้ว_CR
nan,23/1/2566,19.sCCC,ส่งเเล้ว_CR
750708003,31/1/2566,17.sBB,ส่งเเล้ว_CR
750918579,2/6/2566 0:00,20.sCC,ส่งเเล้ว_CR
670001877,2/8/2566 0:00,18.sB+,ส่งเเล้ว_CR
750711560,26/1/2566,19.sCCC,ส่งเเล้ว_CR
750715418,15/12/2565,19.sCCC,ส่งเเล้ว_CR
750708003,12/8/2565 0:00,14.sAA,ส่งเเล้ว_CR
750934460,1/12/2566 0:00,20.sCC,ส่งเเล้ว_CR
750912456,1/12/2566 0:00,18.sB+,ส่งเเล้ว_CR
750068349,13/6/2565,15.sA+,ส่งเเล้ว_CR
750173853,13/2/2566,17.sBB,ส่งเเล้ว_CR
680004251,13/2/2566,19.sCCC,ส่งเเล้ว_CR
550001382,2/9/2566 0:00,17.sBB,ส่งเเล้ว_CR
360001391,2/9/2566 0:00,21.sC+,ส่งเเล้ว_CR
730004741,31/1/2566,20.sCC,ส่งเเล้ว_CR
750809485,17/2/2566,18.sB+,ส่งเเล้ว_CR
750930282,2/2/2566 0:00,18.sB+,ส่งเเล้ว_CR
730014657,2/2/2566 0:00,20.sCC,ส่งเเล้ว_CR
690001559,15/2/2566,18.sB+,ส่งเเล้ว_CR
nan,16/1/2566,19.sCCC,ส่งเเล้ว_CR
750805202,17/11/2565,7.CCC,ส่งเเล้ว_CR
750285641,19/12/2565,5.BB,ส่งเเล้ว_CR
750748113,21/12/2565,3.A+,ส่งเเล้ว_CR
nan,12/1/2565 0:00,9.C+,ส่งเเล้ว_CR
nan,19/12/2565,4.BBB,ส่งเเล้ว_CR
750780026,1/6/2566 0:00,10.DDD,ส่งเเล้ว_CR
750775740,12/7/2565 0:00,3.A+,ส่งเเล้ว_CR
750797871,16/1/2566,7.CCC,ส่งเเล้ว_CR
750443343,16/12/2565,8.CC,ส่งเเล้ว_CR
750326504,25/11/2565,9.C+,ส่งเเล้ว_CR
750847672,11/3/2565 0:00,10.DDD,ส่งเเล้ว_CR
750245930,21/12/2565,9.C+,ส่งเเล้ว_CR
nan,1/5/2566 0:00,6.B+,ส่งเเล้ว_CR
540004054,19/12/2565,9.C+,ส่งเเล้ว_CR
650000643,12/6/2565 0:00,20.sCC,ส่งเเล้ว_CR
610008283,30/12/2565,19.sCCC,ส่งเเล้ว_CR
360001458,17/1/2566,15.sA+,ส่งเเล้ว_CR
670007676,30/12/2565,20.sCC,ส่งเเล้ว_CR
680011846,30/12/2565,16.sBBB,ส่งเเล้ว_CR
730014711,20/12/2565,18.sB+,ส่งเเล้ว_CR
730021379,21/12/2565,20.sCC,ส่งเเล้ว_CR
530007619,27/12/2565,19.sCCC,ส่งเเล้ว_CR
630006473,27/12/2565,21.sC+,ส่งเเล้ว_CR
710810544,11/3/2565 0:00,22.sDDD,ส่งเเล้ว_CR
nan,1/3/2566 0:00,18.sB+,ส่งเเล้ว_CR
750386769,1/5/2566 0:00,17.sBB,ส่งเเล้ว_CR
nan,1/9/2566 0:00,17.sBB,ส่งเเล้ว_CR
48000688,30/12/2565,19.sCCC,ส่งเเล้ว_CR
380004866,27/12/2565,19.sCCC,ส่งเเล้ว_CR
750932088,22/12/2565,22.sDDD,ส่งเเล้ว_CR
750185543,1/6/2566 0:00,17.sBB,ส่งเเล้ว_CR
750928157,1/6/2566 0:00,18.sB+,ส่งเเล้ว_CR
750085385,1/12/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750293522,1/12/2566 0:00,19.sCCC,ส่งเเล้ว_CR
730011945,13/1/2566,18.sB+,ส่งเเล้ว_CR
nan,1/3/2566 0:00,17.sBB,ส่งเเล้ว_CR
630004734,20/1/2566,16.sBBB,ส่งเเล้ว_CR
750917636,1/10/2566 0:00,19.sCCC,ส่งเเล้ว_CR
nan,21/12/2565,17.sBB,ส่งเเล้ว_CR
nan,21/12/2565,18.sB+,ส่งเเล้ว_CR
nan,29/12/2565,21.sC+,ส่งเเล้ว_CR
750054639,15/12/2565,20.sCC,ส่งเเล้ว_CR
750900254,19/12/2565,17.sBB,ส่งเเล้ว_CR
390001766,13/1/2566,18.sB+,ส่งเเล้ว_CR
750589526,19/12/2565,20.sCC,ส่งเเล้ว_CR
690001351,16/12/2565,17.sBB,ส่งเเล้ว_CR
750854232,6/1/2566 0:00,6.B+,ส่งเเล้ว_CR
750934769,5/12/2566 0:00,4.BBB,ส่งเเล้ว_CR
nan,27/6/2566,8.CC,ส่งเเล้ว_CR
620003353,27/6/2566,3.A+,ส่งเเล้ว_CR
750956610,17/5/2566,7.CCC,ส่งเเล้ว_CR
750902516,6/12/2566 0:00,7.CCC,ส่งเเล้ว_CR
nan,7/6/2566 0:00,8.CC,ส่งเเล้ว_CR
750893627,6/6/2566 0:00,8.CC,ส่งเเล้ว_CR
750933349,6/6/2566 0:00,6.B+,ส่งเเล้ว_CR
540022759,14/7/2566,7.CCC,ส่งเเล้ว_CR
540002759,27/6/2566,7.CCC,ส่งเเล้ว_CR
nan,27/6/2566,9.C+,ส่งเเล้ว_CR
nan,13/6/2566,8.CC,ส่งเเล้ว_CR
750844249,7/7/2566 0:00,6.B+,ส่งเเล้ว_CR
750961820,7/7/2566 0:00,5.BB,ส่งเเล้ว_CR
750418373,13/7/2566,8.CC,ส่งเเล้ว_CR
750516173,13/7/2566,8.CC,ส่งเเล้ว_CR
610011556,6/12/2566 0:00,5.BB,ส่งเเล้ว_CR
750722644,14/6/2566,6.B+,ส่งเเล้ว_CR
nan,7/7/2566 0:00,8.CC,ส่งเเล้ว_CR
750430676,30/6/2566,9.C+,ส่งเเล้ว_CR
750671692,28/6/2566,5.BB,ส่งเเล้ว_CR
580003359,30/6/2566,6.B+,ส่งเเล้ว_CR
680015190,7/12/2566 0:00,5.BB,ส่งเเล้ว_CR
750933946,20/6/2566,18.sB+,ส่งเเล้ว_CR
750820157,17/7/2566,17.sBB,ส่งเเล้ว_CR
750442921,27/6/2566,18.sB+,ส่งเเล้ว_CR
750764495,16/6/2566,17.sBB,ส่งเเล้ว_CR
nan,22/6/2566,16.sBBB,ส่งเเล้ว_CR
750449121,30/6/2566,17.sBB,ส่งเเล้ว_CR
480005155,19/6/2566,18.sB+,ส่งเเล้ว_CR
750980424,21/6/2566,18.sB+,ส่งเเล้ว_CR
nan,6/2/2566 0:00,17.sBB,ส่งเเล้ว_CR
750329930,16/6/2566,18.sB+,ส่งเเล้ว_CR
610002131,16/6/2566,17.sBB,ส่งเเล้ว_CR
nan,7/5/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750962545,7/6/2566 0:00,18.sB+,ส่งเเล้ว_CR
610012620,26/6/2566,16.sBBB,ส่งเเล้ว_CR
730015802,26/6/2566,16.sBBB,ส่งเเล้ว_CR
750838432,30/6/2566,20.sCC,ส่งเเล้ว_CR
730002157,7/3/2566 0:00,19.sCCC,ส่งเเล้ว_CR
630001977,7/4/2566 0:00,17.sBB,ส่งเเล้ว_CR
530019674,7/5/2566 0:00,17.sBB,ส่งเเล้ว_CR
750886588,17/7/2566,16.sBBB,ส่งเเล้ว_CR
750709570,28/6/2566,17.sBB,ส่งเเล้ว_CR
750711720,25/5/2566,20.sCC,ส่งเเล้ว_CR
nan,24/7/2566,15.sA+,ส่งเเล้ว_CR
750477679,26/6/2566,19.sCCC,ส่งเเล้ว_CR
nan,7/11/2566 0:00,18.sB+,ส่งเเล้ว_CR
nan,28/6/2566,18.sB+,ส่งเเล้ว_CR
710001194,6/7/2566 0:00,17.sBB,ส่งเเล้ว_CR
730006256,7/12/2566 0:00,17.sBB,ส่งเเล้ว_CR
750797944,6/3/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750068349,22/6/2566,15.sA+,ส่งเเล้ว_CR
750912456,7/6/2566 0:00,18.sB+,ส่งเเล้ว_CR
nan,7/5/2566 0:00,20.sCC,ส่งเเล้ว_CR
750934460,22/6/2566,20.sCC,ส่งเเล้ว_CR
nan,19/6/2566,18.sB+,ส่งเเล้ว_CR
750905989,7/7/2566 0:00,17.sBB,ส่งเเล้ว_CR
670008692,25/5/2566,18.sB+,ส่งเเล้ว_CR
750037218,17/7/2566,18.sB+,ส่งเเล้ว_CR
730013483,13/7/2566,19.sCCC,ส่งเเล้ว_CR
750774147,6/7/2566 0:00,4.BBB,ส่งเเล้ว_CR
750750146,6/6/2566 0:00,6.B+,ส่งเเล้ว_CR
750346699,17/5/2566,9.C+,ส่งเเล้ว_CR
750911355,5/11/2566 0:00,4.BBB,ส่งเเล้ว_CR
750897869,6/6/2566 0:00,4.BBB,ส่งเเล้ว_CR
750962327,30/5/2566,8.CC,ส่งเเล้ว_CR
750971619,6/6/2566 0:00,8.CC,ส่งเเล้ว_CR
nan,25/5/2566,8.CC,ส่งเเล้ว_CR
750836331,19/6/2566,4.BBB,ส่งเเล้ว_CR
540002407,19/5/2566,4.BBB,ส่งเเล้ว_CR
630010083,27/4/2566,8.CC,ส่งเเล้ว_CR
520000555,6/7/2566 0:00,6.B+,ส่งเเล้ว_CR
750873219,16/5/2566,6.B+,ส่งเเล้ว_CR
nan,16/5/2566,7.CCC,ส่งเเล้ว_CR
nan,25/5/2566,5.BB,ส่งเเล้ว_CR
750937195,5/9/2566 0:00,6.B+,ส่งเเล้ว_CR
