เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
750326504,17/8/2564,9.C+,ส่งเเล้ว
750662105,9/8/2564 0:00,10.DDD,ส่งเเล้ว
7.30046E+17,30/8/2564,10.DDD,ส่งเเล้ว
750722644,9/3/2564 0:00,9.C+,ส่งเเล้ว
680014882,10/8/2564 0:00,9.C+,ส่งเเล้ว
750326504,16/10/2564,8.CC,ส่งเเล้ว
750662105,11/2/2564 0:00,9.C+,ส่งเเล้ว
750417720,1/7/2564 0:00,9.C+,ส่งเเล้ว
750759942,29/12/2564,8.CC,ส่งเเล้ว
680026953,17/12/2564 0:00,9.C+,ส่งเเล้ว
740000306,6/7/2564 0:00,7.CCC,ส่งเเล้ว
600001595,14/7/2564 0:00,5.BB,ส่งเเล้ว
750697348,29/9/2564 0:00,6.B+,ส่งเเล้ว
nan,21/12/2564 0:00,8.CC,ส่งเเล้ว
670005540,28/12/2564 0:00,7.CCC,ส่งเเล้ว
nan,5/7/2564 0:00,6.B+,ส่งเเล้ว
750929211,29/6/2564,9.C+,ส่งเเล้ว
610011556,1/5/2564 0:00,C+,ส่งเเล้ว
750671692,20/5/2564 0:00,CCC,ส่งเเล้ว
580001959,1/8/2564 0:00,BB,ส่งเเล้ว
730007522,1/8/2564 0:00,BB,ส่งเเล้ว
730007522,9/10/2564 0:00,BB,ส่งเเล้ว
750760971,23/2/2564 0:00,C+,ส่งเเล้ว
750716062,10/5/2564 0:00,B+,ส่งเเล้ว
750690246,6/7/2564 0:00,CC,ส่งเเล้ว
750873219,2/6/2564 0:00,B+,ส่งเเล้ว
750851137,12/3/2564 0:00,B+,ส่งเเล้ว
750906932,15/3/2564 0:00,CCC,ส่งเเล้ว
750602275,10/9/2564 0:00,BB,ส่งเเล้ว
730020957,9/8/2564 0:00,C+,ส่งเเล้ว
750010491,9/1/2564 0:00,7.CCC,ส่งเเล้ว
750010490,9/1/2564 0:00,8.CC,ส่งเเล้ว
750696767,14/9/2564,8.CC,ส่งเเล้ว
750804849,9/9/2564 0:00,6.B+,ส่งเเล้ว
750010490,11/5/2564 0:00,6.B+,ส่งเเล้ว
750398494,31/8/2564,8.CC,ส่งเเล้ว
580001729,11/5/2564 0:00,10.DDD,ส่งเเล้ว
nan,17/11/2564,6.B+,ส่งเเล้ว
