วันที่ประเมิน,วันที่ประเมิน_adjust
17/3/2565,2022-03-17
22/6/2565,2022-06-22
22/6/2565,2022-06-22
2565-09-05 00:00:00,2022-09-05
15/7/2565,2022-07-15
22/7/2565,2022-07-22
14/2/2565,2022-02-14
28/2/2565,2022-02-28
18/2/2565,2022-02-18
23/2/2565,2022-02-23
15/3/2565,2022-03-15
2565-11-03 00:00:00,2022-11-03
29/4/2565,2022-04-29
2565-07-15 00:00:00,2022-07-15
2565-10-08 00:00:00,2022-10-08
15/9/2565,2022-09-15
25/8/2565,2022-08-25
27/12/2565,2022-12-27
2565-11-11 00:00:00,2022-11-11
21/10/2565,2022-10-21
19/12/2565,2022-12-19
22/11/2565,2022-11-22
21/10/2565,2022-10-21
21/10/2565,2022-10-21
2565-02-11 00:00:00,2022-02-11
2565-02-11 00:00:00,2022-02-11
2563-02-04 00:00:00,2020-02-04
2563-02-19 00:00:00,2020-02-19
2563-06-17 00:00:00,2020-06-17
2563-11-06 00:00:00,2020-11-06
2563-08-28 00:00:00,2020-08-28
2563-11-06 00:00:00,2020-11-06
2563-02-17 00:00:00,2020-02-17
2563-02-12 00:00:00,2020-02-12
2563-02-14 00:00:00,2020-02-14
2563-02-04 00:00:00,2020-02-04
2563-10-26 00:00:00,2020-10-26
2563-12-15 00:00:00,2020-12-15
2563-11-26 00:00:00,2020-11-26
2563-03-26 00:00:00,2020-03-26
2563-01-14 00:00:00,2020-01-14
2563-02-19 00:00:00,2020-02-19
2563-02-12 00:00:00,2020-02-12
2563-04-14 00:00:00,2020-04-14
2563-04-27 00:00:00,2020-04-27
2563-04-03 00:00:00,2020-04-03
19/07/2563,2020-07-19
2563-05-18 00:00:00,2020-05-18
19/05/2563,2020-05-19
2563-06-16 00:00:00,2020-06-16
2563-06-24 00:00:00,2020-06-24
2563-08-10 00:00:00,2020-08-10
2563-08-25 00:00:00,2020-08-25
2563-12-22 00:00:00,2020-12-22
2563-04-16 00:00:00,2020-04-16
2563-12-17 00:00:00,2020-12-17
2563-02-28 00:00:00,2020-02-28
2563-03-04 00:00:00,2020-03-04
2563-03-03 00:00:00,2020-03-03
17/07/2563,2020-07-17
2563-11-09 00:00:00,2020-11-09
2563-05-07 00:00:00,2020-05-07
2563-03-03 00:00:00,2020-03-03
17/07/2563,2020-07-17
2563-10-05 00:00:00,2020-10-05
2564-05-20 00:00:00,2021-05-20
2564-08-01 00:00:00,2021-08-01
2564-08-01 00:00:00,2021-08-01
2564-10-09 00:00:00,2021-10-09
2564-02-23 00:00:00,2021-02-23
2564-05-10 00:00:00,2021-05-10
2564-07-06 00:00:00,2021-07-06
2564-06-02 00:00:00,2021-06-02
2564-03-12 00:00:00,2021-03-12
2564-03-15 00:00:00,2021-03-15
2564-09-10 00:00:00,2021-09-10
2564-08-09 00:00:00,2021-08-09
2564-01-09 00:00:00,2021-01-09
2564-01-09 00:00:00,2021-01-09
14/9/2564,2021-09-14
2564-09-09 00:00:00,2021-09-09
2564-05-11 00:00:00,2021-05-11
31/8/2564,2021-08-31
2564-05-11 00:00:00,2021-05-11
17/11/2564,2021-11-17
2564-10-25 00:00:00,2021-10-25
2564-12-13 00:00:00,2021-12-13
15/12/2564,2021-12-15
2564-12-13 00:00:00,2021-12-13
2564-10-09 00:00:00,2021-10-09
2564-04-06 00:00:00,2021-04-06
2564-01-07 00:00:00,2021-01-07
17/5/2564,2021-05-17
243047,2022-06-08
243045,2022-06-06
243047,2022-06-08
243195,2022-11-03
243084,2022-07-15
243169,2022-10-08
243203,2022-11-11
19/12/2565,2022-12-19
2564-12-06 00:00:00,2021-12-06
2564-06-18 00:00:00,2021-06-18
2563-04-14 00:00:00,2020-04-14
2565-06-14 00:00:00,2022-06-14
2565-02-18 00:00:00,2022-02-18
2565-09-23 00:00:00,2022-09-23
15/9/2565,2022-09-15
19/12/2565,2022-12-19
2566-06-28 00:00:00,2023-06-28
2566-08-04 00:00:00,2023-08-04
2566-05-25 00:00:00,2023-05-25
2566-05-09 00:00:00,2023-05-09
2566-05-16 00:00:00,2023-05-16
2566-02-07 00:00:00,2023-02-07
2563-03-04 00:00:00,2020-03-04
2563-05-19 00:00:00,2020-05-19
2563-03-30 00:00:00,2020-03-30
2564-01-08 00:00:00,2021-01-08
2564-01-08 00:00:00,2021-01-08
30/6/2564,2021-06-30
15/11/2564,2021-11-15
243045,2022-06-06
17/3/2565,2022-03-17
243136,2022-09-05
242930,2022-02-11
242930,2022-02-11
27/10/2565,2022-10-27
26/4/2565,2022-04-26
24/3/2566,2023-03-24
24/3/2566,2023-03-24
20/9/2566,2023-09-20
2566-10-11 00:00:00,2023-10-11
2022-11-02 00:00:00,2022-11-02
2564-09-14 00:00:00,2021-09-14
2564-08-31 00:00:00,2021-08-31
2564-11-17 00:00:00,2021-11-17
2564-12-15 00:00:00,2021-12-15
25/11/2565,2022-11-25
30/11/2565,2022-11-30
2563-06-24 00:00:00,2020-06-24
2564-02-09 00:00:00,2021-02-09
2022-09-08 00:00:00,2022-09-08
2563-12-04 00:00:00,2020-12-04
15/10/2564,2021-10-15
17/9/2564,2021-09-17
2563-09-11 00:00:00,2020-09-11
30/11/2565,2022-11-30
2565-09-11 00:00:00,2022-09-11
25/11/2565,2022-11-25
18/8/2566,2023-08-18
25/5/2566,2023-05-25
2565-04-07 00:00:00,2022-04-07
2565-07-11 00:00:00,2022-07-11
2565-07-18 00:00:00,2022-07-18
2565-07-07 00:00:00,2022-07-07
2565-07-08 00:00:00,2022-07-08
2565-06-30 00:00:00,2022-06-30
17/1/2565,2022-01-17
20/1/2565,2022-01-20
26/1/2565,2022-01-26
30/1/2565,2022-01-30
17/1/2565,2022-01-17
2565-09-02 00:00:00,2022-09-02
24/1/2565,2022-01-24
2565-02-01 00:00:00,2022-02-01
2565-02-10 00:00:00,2022-02-10
2565-10-02 00:00:00,2022-10-02
28/1/2565,2022-01-28
2565-03-02 00:00:00,2022-03-02
2565-11-03 00:00:00,2022-11-03
2565-03-03 00:00:00,2022-03-03
2565-07-03 00:00:00,2022-07-03
2565-07-03 00:00:00,2022-07-03
28/2/2565,2022-02-28
19/3/2565,2022-03-19
18/3/2565,2022-03-18
15/3/2565,2022-03-15
23/3/2565,2022-03-23
2565-02-04 00:00:00,2022-02-04
2565-03-11 00:00:00,2022-03-11
2565-08-04 00:00:00,2022-08-04
2565-10-03 00:00:00,2022-10-03
22/4/2565,2022-04-22
20/4/2565,2022-04-20
21/4/2565,2022-04-21
2565-07-04 00:00:00,2022-07-04
2565-10-05 00:00:00,2022-10-05
2565-12-05 00:00:00,2022-12-05
2565-03-05 00:00:00,2022-03-05
25/4/2565,2022-04-25
27/4/2565,2022-04-27
25/4/2565,2022-04-25
2565-06-05 00:00:00,2022-06-05
16/3/2565,2022-03-16
2565-01-12 00:00:00,2022-01-12
2565-12-05 00:00:00,2022-12-05
2565-12-05 00:00:00,2022-12-05
2565-12-05 00:00:00,2022-12-05
2565-10-05 00:00:00,2022-10-05
2565-05-12 00:00:00,2022-05-12
13/5/2565,2022-05-13
13/5/2565,2022-05-13
22/4/2565,2022-04-22
19/5/2565,2022-05-19
24/5/2565,2022-05-24
23/5/2565,2022-05-23
25/5/2565,2022-05-25
18/5/2565,2022-05-18
24/5/2565,2022-05-24
19/5/2565,2022-05-19
18/5/2565,2022-05-18
20/5/2565,2022-05-20
25/5/2565,2022-05-25
2565-07-06 00:00:00,2022-07-06
2565-05-05 00:00:00,2022-05-05
2565-07-06 00:00:00,2022-07-06
13/6/2565,2022-06-13
2565-07-06 00:00:00,2022-07-06
14/6/2565,2022-06-14
23/5/2565,2022-05-23
13/6/2565,2022-06-13
16/6/2565,2022-06-16
2565-06-17 00:00:00,2022-06-17
2565-07-01 00:00:00,2022-07-01
2565-01-08 00:00:00,2022-01-08
15/8/2565,2022-08-15
2565-05-08 00:00:00,2022-05-08
15/8/2565,2022-08-15
2565-09-08 00:00:00,2022-09-08
25/8/2565,2022-08-25
24/8/2565,2022-08-24
15/8/2565,2022-08-15
18/8/2565,2022-08-18
2565-07-18 00:00:00,2022-07-18
2565-02-23 00:00:00,2022-02-23
2565-08-05 00:00:00,2022-08-05
2565-09-12 00:00:00,2022-09-12
31/8/2565,2022-08-31
25/8/2565,2022-08-25
30/8/2565,2022-08-30
30/8/2565,2022-08-30
30/8/2565,2022-08-30
14/9/2565,2022-09-14
2565-12-09 00:00:00,2022-12-09
22/8/2565,2022-08-22
28/11/2565,2022-11-28
2565-09-11 00:00:00,2022-09-11
28/11/2565,2022-11-28
2565-08-12 00:00:00,2022-08-12
25/11/2565,2022-11-25
2565-06-12 00:00:00,2022-06-12
2565-09-12 00:00:00,2022-09-12
2565-06-12 00:00:00,2022-06-12
30/12/2565,2022-12-30
30/12/2565,2022-12-30
2565-05-10 00:00:00,2022-05-10
2565-05-10 00:00:00,2022-05-10
2565-11-03 00:00:00,2022-11-03
2565-10-05 00:00:00,2022-10-05
23/2/2565,2022-02-23
19/4/2565,2022-04-19
15/11/2564,2021-11-15
31/3/2565,2022-03-31
13/6/2565,2022-06-13
18/1/2565,2022-01-18
15/11/2565,2022-11-15
21/11/2566,2023-11-21
23/11/2565,2022-11-23
2563-07-21 00:00:00,2020-07-21
2563-07-15 00:00:00,2020-07-15
2563-08-06 00:00:00,2020-08-06
2563-04-16 00:00:00,2020-04-16
2563-06-30 00:00:00,2020-06-30
2563-10-28 00:00:00,2020-10-28
2563-10-15 00:00:00,2020-10-15
2563-10-26 00:00:00,2020-10-26
2563-11-12 00:00:00,2020-11-12
2563-11-13 00:00:00,2020-11-13
2563-12-04 00:00:00,2020-12-04
2563-05-18 00:00:00,2020-05-18
2563-03-13 00:00:00,2020-03-13
2563-02-04 00:00:00,2020-02-04
2563-04-07 00:00:00,2020-04-07
2563-04-09 00:00:00,2020-04-09
2563-02-19 00:00:00,2020-02-19
2563-02-27 00:00:00,2020-02-27
2563-01-28 00:00:00,2020-01-28
2563-12-28 00:00:00,2020-12-28
2563-02-27 00:00:00,2020-02-27
2563-02-27 00:00:00,2020-02-27
2563-02-27 00:00:00,2020-02-27
2563-01-29 00:00:00,2020-01-29
2563-01-28 00:00:00,2020-01-28
2563-02-03 00:00:00,2020-02-03
2563-02-05 00:00:00,2020-02-05
2563-01-30 00:00:00,2020-01-30
2563-01-03 00:00:00,2020-01-03
2563-02-03 00:00:00,2020-02-03
2563-02-07 00:00:00,2020-02-07
2563-03-05 00:00:00,2020-03-05
2563-03-05 00:00:00,2020-03-05
2563-01-28 00:00:00,2020-01-28
2563-06-30 00:00:00,2020-06-30
2563-01-31 00:00:00,2020-01-31
2563-01-31 00:00:00,2020-01-31
2563-01-31 00:00:00,2020-01-31
2563-03-24 00:00:00,2020-03-24
2563-02-19 00:00:00,2020-02-19
2563-02-05 00:00:00,2020-02-05
2563-02-05 00:00:00,2020-02-05
2563-01-22 00:00:00,2020-01-22
2563-02-20 00:00:00,2020-02-20
2563-02-05 00:00:00,2020-02-05
2563-02-05 00:00:00,2020-02-05
2563-02-25 00:00:00,2020-02-25
2563-03-26 00:00:00,2020-03-26
2563-03-24 00:00:00,2020-03-24
2563-04-07 00:00:00,2020-04-07
2563-04-30 00:00:00,2020-04-30
2563-08-21 00:00:00,2020-08-21
2563-09-24 00:00:00,2020-09-24
2563-10-12 00:00:00,2020-10-12
2563-10-26 00:00:00,2020-10-26
2563-11-11 00:00:00,2020-11-11
2563-12-24 00:00:00,2020-12-24
2563-12-08 00:00:00,2020-12-08
2563-12-16 00:00:00,2020-12-16
2563-12-15 00:00:00,2020-12-15
2563-11-09 00:00:00,2020-11-09
2563-12-25 00:00:00,2020-12-25
2563-12-22 00:00:00,2020-12-22
2563-11-30 00:00:00,2020-11-30
2563-12-24 00:00:00,2020-12-24
2563-12-22 00:00:00,2020-12-22
2563-10-07 00:00:00,2020-10-07
2563-11-02 00:00:00,2020-11-02
2563-12-15 00:00:00,2020-12-15
2563-11-11 00:00:00,2020-11-11
2563-09-29 00:00:00,2020-09-29
2563-10-12 00:00:00,2020-10-12
2563-10-20 00:00:00,2020-10-20
2563-10-29 00:00:00,2020-10-29
2563-09-08 00:00:00,2020-09-08
2563-09-23 00:00:00,2020-09-23
2563-10-20 00:00:00,2020-10-20
2563-09-08 00:00:00,2020-09-08
2563-09-03 00:00:00,2020-09-03
2563-08-11 00:00:00,2020-08-11
2563-08-24 00:00:00,2020-08-24
2563-07-24 00:00:00,2020-07-24
2563-06-23 00:00:00,2020-06-23
2563-07-20 00:00:00,2020-07-20
2563-06-16 00:00:00,2020-06-16
2563-06-25 00:00:00,2020-06-25
2563-05-19 00:00:00,2020-05-19
2563-06-02 00:00:00,2020-06-02
2563-06-16 00:00:00,2020-06-16
2563-06-08 00:00:00,2020-06-08
2563-05-20 00:00:00,2020-05-20
2563-06-17 00:00:00,2020-06-17
2563-05-20 00:00:00,2020-05-20
2563-02-20 00:00:00,2020-02-20
2563-03-02 00:00:00,2020-03-02
2563-04-16 00:00:00,2020-04-16
2563-03-02 00:00:00,2020-03-02
2563-02-07 00:00:00,2020-02-07
2563-12-03 00:00:00,2020-12-03
2563-09-01 00:00:00,2020-09-01
2563-12-22 00:00:00,2020-12-22
2563-11-23 00:00:00,2020-11-23
2563-04-15 00:00:00,2020-04-15
2563-03-24 00:00:00,2020-03-24
2563-04-03 00:00:00,2020-04-03
2563-11-11 00:00:00,2020-11-11
2563-11-11 00:00:00,2020-11-11
2563-09-01 00:00:00,2020-09-01
2563-12-15 00:00:00,2020-12-15
2563-08-24 00:00:00,2020-08-24
2563-12-15 00:00:00,2020-12-15
2563-11-16 00:00:00,2020-11-16
2563-10-11 00:00:00,2020-10-11
/04/2563,2020-04-30
2563-10-05 00:00:00,2020-10-05
2563-11-09 00:00:00,2020-11-09
2563-10-26 00:00:00,2020-10-26
2563-11-09 00:00:00,2020-11-09
2563-12-18 00:00:00,2020-12-18
2563-12-15 00:00:00,2020-12-15
2563-12-25 00:00:00,2020-12-25
2563-02-12 00:00:00,2020-02-12
2563-08-06 00:00:00,2020-08-06
2563-10-22 00:00:00,2020-10-22
2563-08-03 00:00:00,2020-08-03
2563-07-05 00:00:00,2020-07-05
2563-03-16 00:00:00,2020-03-16
2563-09-03 00:00:00,2020-09-03
2563-12-12 00:00:00,2020-12-12
2563-12-12 00:00:00,2020-12-12
2563-12-12 00:00:00,2020-12-12
2563-12-12 00:00:00,2020-12-12
2563-07-01 00:00:00,2020-07-01
2563-12-18 00:00:00,2020-12-18
2563-12-22 00:00:00,2020-12-22
2563-12-22 00:00:00,2020-12-22
2563-12-22 00:00:00,2020-12-22
2563-12-22 00:00:00,2020-12-22
2563-11-02 00:00:00,2020-11-02
2563-04-19 00:00:00,2020-04-19
2563-12-22 00:00:00,2020-12-22
2563-12-21 00:00:00,2020-12-21
2563-11-30 00:00:00,2020-11-30
2563-12-14 00:00:00,2020-12-14
2563-12-22 00:00:00,2020-12-22
2563-10-21 00:00:00,2020-10-21
2563-10-21 00:00:00,2020-10-21
2563-10-21 00:00:00,2020-10-21
2563-03-26 00:00:00,2020-03-26
2563-06-15 00:00:00,2020-06-15
2563-12-15 00:00:00,2020-12-15
2563-12-15 00:00:00,2020-12-15
2563-12-08 00:00:00,2020-12-08
2563-12-12 00:00:00,2020-12-12
2563-02-03 00:00:00,2020-02-03
2563-08-24 00:00:00,2020-08-24
2563-04-28 00:00:00,2020-04-28
2563-11-24 00:00:00,2020-11-24
2563-02-14 00:00:00,2020-02-14
2563-02-01 00:00:00,2020-02-01
2563-04-10 00:00:00,2020-04-10
2563-07-02 00:00:00,2020-07-02
2563-04-03 00:00:00,2020-04-03
2563-02-01 00:00:00,2020-02-01
2563-02-21 00:00:00,2020-02-21
2563-01-22 00:00:00,2020-01-22
2563-03-23 00:00:00,2020-03-23
2563-12-09 00:00:00,2020-12-09
2563-01-03 00:00:00,2020-01-03
2563-09-07 00:00:00,2020-09-07
2563-12-02 00:00:00,2020-12-02
2563-12-04 00:00:00,2020-12-04
2563-12-03 00:00:00,2020-12-03
2563-09-07 00:00:00,2020-09-07
2563-09-03 00:00:00,2020-09-03
2563-12-18 00:00:00,2020-12-18
2563-12-02 00:00:00,2020-12-02
2563-02-27 00:00:00,2020-02-27
2563-12-15 00:00:00,2020-12-15
2563-12-02 00:00:00,2020-12-02
2563-09-07 00:00:00,2020-09-07
2563-02-27 00:00:00,2020-02-27
2563-02-13 00:00:00,2020-02-13
2563-12-19 00:00:00,2020-12-19
2563-12-15 00:00:00,2020-12-15
19/2/2563,2020-02-19
2564-01-06 00:00:00,2021-01-06
2564-01-19 00:00:00,2021-01-19
2564-01-04 00:00:00,2021-01-04
2564-01-18 00:00:00,2021-01-18
2564-01-12 00:00:00,2021-01-12
2564-02-01 00:00:00,2021-02-01
2564-01-11 00:00:00,2021-01-11
2564-01-21 00:00:00,2021-01-21
2564-01-22 00:00:00,2021-01-22
2564-02-19 00:00:00,2021-02-19
2564-02-22 00:00:00,2021-02-22
2564-02-15 00:00:00,2021-02-15
2564-02-22 00:00:00,2021-02-22
2564-01-27 00:00:00,2021-01-27
2564-02-15 00:00:00,2021-02-15
2564-02-08 00:00:00,2021-02-08
2564-03-04 00:00:00,2021-03-04
2564-02-02 00:00:00,2021-02-02
2564-03-19 00:00:00,2021-03-19
2564-03-08 00:00:00,2021-03-08
2564-03-17 00:00:00,2021-03-17
2564-04-28 00:00:00,2021-04-28
2564-05-05 00:00:00,2021-05-05
2564-04-21 00:00:00,2021-04-21
2564-04-21 00:00:00,2021-04-21
2564-01-27 00:00:00,2021-01-27
2564-01-11 00:00:00,2021-01-11
30/8/2564,2021-08-30
17/9/2564,2021-09-17
24/8/2564,2021-08-24
25/8/2564,2021-08-25
26/8/2564,2021-08-26
2564-01-09 00:00:00,2021-01-09
2564-03-09 00:00:00,2021-03-09
31/8/2564,2021-08-31
16/9/2564,2021-09-16
2564-10-09 00:00:00,2021-10-09
29/9/2564,2021-09-29
13/9/2564,2021-09-13
2564-11-08 00:00:00,2021-11-08
28/10/2564,2021-10-28
19/10/2564,2021-10-19
21/10/2564,2021-10-21
20/10/2564,2021-10-20
16/11/2564,2021-11-16
2564-05-11 00:00:00,2021-05-11
2564-08-12 00:00:00,2021-08-12
14/12/2564,2021-12-14
14/12/2564,2021-12-14
15/11/2564,2021-11-15
2564-09-12 00:00:00,2021-09-12
18/11/2564,2021-11-18
2564-12-16 00:00:00,2021-12-16
2564-12-16 00:00:00,2021-12-16
2564-09-12 00:00:00,2021-09-12
14/12/2564,2021-12-14
17/11/2564,2021-11-17
21/12/2564,2021-12-21
23/06/2564,2021-06-23
2564-09-12 00:00:00,2021-09-12
26/11/2564,2021-11-26
26/11/2564,2021-11-26
26/11/2564,2021-11-26
2564-06-21 00:00:00,2021-06-21
2564-06-11 00:00:00,2021-06-11
2564-08-17 00:00:00,2021-08-17
2564-06-02 00:00:00,2021-06-02
2564-03-01 00:00:00,2021-03-01
2564-12-21 00:00:00,2021-12-21
2564-12-21 00:00:00,2021-12-21
19/07/2564,2021-07-19
2564-01-09 00:00:00,2021-01-09
2564-05-08 00:00:00,2021-05-08
2564-12-04 00:00:00,2021-12-04
243133,2022-09-02
242920,2022-02-01
242929,2022-02-10
243163,2022-10-02
242949,2022-03-02
243195,2022-11-03
242950,2022-03-03
243072,2022-07-03
243072,2022-07-03
242923,2022-02-04
242958,2022-03-11
243104,2022-08-04
243164,2022-10-03
243073,2022-07-04
243166,2022-10-05
243227,2022-12-05
242952,2022-03-05
243044,2022-06-05
243227,2022-12-05
243227,2022-12-05
243227,2022-12-05
243166,2022-10-05
243020,2022-05-12
243075,2022-07-06
243013,2022-05-05
243075,2022-07-06
243075,2022-07-06
243056,2022-06-17
243070,2022-07-01
242896,2022-01-08
243016,2022-05-08
243139,2022-09-08
243087,2022-07-18
242942,2022-02-23
243105,2022-08-05
243143,2022-09-12
243231,2022-12-09
243142,2022-09-11
243112,2022-08-12
243051,2022-06-12
243143,2022-09-12
243051,2022-06-12
242900,2022-01-12
2564-05-27 00:00:00,2021-05-27
2564-11-02 00:00:00,2021-11-02
2564-05-25 00:00:00,2021-05-25
2564-11-19 00:00:00,2021-11-19
2564-02-15 00:00:00,2021-02-15
2564-02-15 00:00:00,2021-02-15
2564-09-16 00:00:00,2021-09-16
2564-09-16 00:00:00,2021-09-16
2564-01-12 00:00:00,2021-01-12
2564-12-21 00:00:00,2021-12-21
2565-09-23 00:00:00,2022-09-23
2565-12-19 00:00:00,2022-12-19
2565-03-02 00:00:00,2022-03-02
2565-12-14 00:00:00,2022-12-14
2565-10-26 00:00:00,2022-10-26
2565-10-26 00:00:00,2022-10-26
2565-06-30 00:00:00,2022-06-30
2565-02-14 00:00:00,2022-02-14
2566-11-23 00:00:00,2023-11-23
2565-01-24 00:00:00,2022-01-24
2565-01-24 00:00:00,2022-01-24
2566-08-08 00:00:00,2023-08-08
2566-06-20 00:00:00,2023-06-20
2566-05-18 00:00:00,2023-05-18
2566-10-20 00:00:00,2023-10-20
2566-02-23 00:00:00,2023-02-23
2566-09-18 00:00:00,2023-09-18
2566-02-02 00:00:00,2023-02-02
2566-03-23 00:00:00,2023-03-23
2566-05-25 00:00:00,2023-05-25
2566-11-14 00:00:00,2023-11-14
2566-11-21 00:00:00,2023-11-21
21/7/2563,2020-07-21
2563-06-08 00:00:00,2020-06-08
29/1/2563,2020-01-29
24/3/2563,2020-03-24
15/12/2563,2020-12-15
24/7/2563,2020-07-24
23/6/2563,2020-06-23
2563-03-12 00:00:00,2020-03-12
2563-06-08 00:00:00,2020-06-08
2563-12-02 00:00:00,2020-12-02
20/2/2563,2020-02-20
2563-07-04 00:00:00,2020-07-04
25/3/2563,2020-03-25
19/5/2563,2020-05-19
18/1/2564,2021-01-18
21/1/2564,2021-01-21
25/1/2564,2021-01-25
2564-01-03 00:00:00,2021-01-03
2564-08-06 00:00:00,2021-08-06
28/6/2564,2021-06-28
27/5/2564,2021-05-27
27/12/2564,2021-12-27
22/4/2564,2021-04-22
19/7/2564,2021-07-19
25/11/2564,2021-11-25
2564-02-11 00:00:00,2021-02-11
21/12/2564,2021-12-21
2564-05-05 00:00:00,2021-05-05
2564-09-06 00:00:00,2021-09-06
14/7/2564,2021-07-14
26/11/2564,2021-11-26
21/6/2564,2021-06-21
2564-02-11 00:00:00,2021-02-11
30/7/2564,2021-07-30
23/6/2564,2021-06-23
31/5/2564,2021-05-31
2564-03-10 00:00:00,2021-03-10
28/11/2564,2021-11-28
2564-12-02 00:00:00,2021-12-02
2564-01-23 00:00:00,2021-01-23
2564-10-16 00:00:00,2021-10-16
2564-10-12 00:00:00,2021-10-12
2564-07-20 00:00:00,2021-07-20
2564-07-04 00:00:00,2021-07-04
15/4/2564,2021-04-15
26/11/2564,2021-11-26
16/6/2564,2021-06-16
2564-06-08 00:00:00,2021-06-08
15/2/2563,2020-02-15
27/5/2564,2021-05-27
2564-10-09 00:00:00,2021-10-09
29/4/2564,2021-04-29
2564-04-08 00:00:00,2021-04-08
21/4/2564,2021-04-21
15/6/2565,2022-06-15
28/12/2565,2022-12-28
21/12/2565,2022-12-21
19/12/2565,2022-12-19
28/12/2565,2022-12-28
21/12/2565,2022-12-21
26/12/2565,2022-12-26
26/12/2565,2022-12-26
2565-08-12 00:00:00,2022-08-12
24/11/2565,2022-11-24
20/12/2565,2022-12-20
2565-08-04 00:00:00,2022-08-04
27/5/2565,2022-05-27
18/7/2565,2022-07-18
28/12/2565,2022-12-28
15/8/2565,2022-08-15
30/12/2565,2022-12-30
2565-12-01 00:00:00,2022-12-01
27/12/2565,2022-12-27
26/4/2565,2022-04-26
15/12/2565,2022-12-15
28/12/2565,2022-12-28
27/12/2565,2022-12-27
2565-05-04 00:00:00,2022-05-04
2565-05-04 00:00:00,2022-05-04
2565-05-04 00:00:00,2022-05-04
26/12/2565,2022-12-26
2565-10-11 00:00:00,2022-10-11
18/8/2565,2022-08-18
27/12/2565,2022-12-27
26/12/2565,2022-12-26
19/12/2565,2022-12-19
18/8/2565,2022-08-18
2565-01-11 00:00:00,2022-01-11
2565-11-11 00:00:00,2022-11-11
25/4/2565,2022-04-25
23/6/2565,2022-06-23
31/5/2565,2022-05-31
2565-03-10 00:00:00,2022-03-10
28/11/2565,2022-11-28
2565-12-02 00:00:00,2022-12-02
2565-01-23 00:00:00,2022-01-23
2565-09-11 00:00:00,2022-09-11
2565-07-20 00:00:00,2022-07-20
2565-07-05 00:00:00,2022-07-05
15/8/2565,2022-08-15
29/5/2565,2022-05-29
22/12/2565,2022-12-22
15/11/2565,2022-11-15
28/4/2565,2022-04-28
19/9/2565,2022-09-19
14/11/2565,2022-11-14
20/1/2565,2022-01-20
2565-10-05 00:00:00,2022-10-05
21/6/2565,2022-06-21
2565-05-04 00:00:00,2022-05-04
2565-01-11 00:00:00,2022-01-11
25/4/2565,2022-04-25
21/6/2565,2022-06-21
29/6/2565,2022-06-29
18/8/2565,2022-08-18
23/6/2565,2022-06-23
23/6/2565,2022-06-23
20/9/65,2022-09-20
2565-11-05 00:00:00,2022-11-05
26/7/2565,2022-07-26
29/5/2565,2022-05-29
15/6/2565,2022-06-15
22/8/2565,2022-08-22
16/12/2565,2022-12-16
16/11/2566,2023-11-16
18/9/2566,2023-09-18
2566-07-03 00:00:00,2023-07-03
16/1/2566,2023-01-16
16/1/2566,2023-01-16
15/1/2565,2022-01-15
30/11/2565,2022-11-30
25/1/2566,2023-01-25
2565-09-12 00:00:00,2022-09-12
22/1/2565,2022-01-22
14/12/2565,2022-12-14
28/2/2566,2023-02-28
14/2/2566,2023-02-14
14/2/2566,2023-02-14
2566-09-03 00:00:00,2023-09-03
28/2/2566,2023-02-28
20/2/2566,2023-02-20
14/3/2566,2023-03-14
2566-08-03 00:00:00,2023-08-03
24/2/2566,2023-02-24
22/02/2566,2023-02-22
2566-02-03 00:00:00,2023-02-03
20/2/2566,2023-02-20
28/2/2566,2023-02-28
2566-04-04 00:00:00,2023-04-04
16/6/2566,2023-06-16
2566-07-07 00:00:00,2023-07-07
2566-05-07 00:00:00,2023-05-07
2566-03-01 00:00:00,2023-03-01
2566-03-01 00:00:00,2023-03-01
2566-01-11 00:00:00,2023-01-11
2566-05-09 00:00:00,2023-05-09
27/2/2566,2023-02-27
22/2/2566,2023-02-22
2566-08-03 00:00:00,2023-08-03
2566-08-03 00:00:00,2023-08-03
2566-05-10 00:00:00,2023-05-10
2566-08-03 00:00:00,2023-08-03
2566-09-03 00:00:00,2023-09-03
2566-08-03 00:00:00,2023-08-03
15/3/2566,2023-03-15
19/9/2566,2023-09-19
2566-03-04 00:00:00,2023-03-04
28/2/2566,2023-02-28
2566-03-04 00:00:00,2023-03-04
28/3/2566,2023-03-28
28/2/2566,2023-02-28
2566-02-03 00:00:00,2023-02-03
2566-02-03 00:00:00,2023-02-03
23/9/2565,2022-09-23
24/10/2566,2023-10-24
21/11/2566,2023-11-21
2566-07-03 00:00:00,2023-07-03
19/04/2566,2023-04-19
17/1/2566,2023-01-17
2566-02-03 00:00:00,2023-02-03
2566-02-03 00:00:00,2023-02-03
28/2/2566,2023-02-28
28/2/2566,2023-02-28
27/6/2566,2023-06-27
2566-03-08 00:00:00,2023-03-08
2566-10-10 00:00:00,2023-10-10
30/8/2566,2023-08-30
24/2/2566,2023-02-24
14/11/2566,2023-11-14
 17/11/2566,2023-11-17
8644142,2023-12-12
8644142,2023-12-12
 15/8/2566,2023-08-15
2566-12-06 00:00:00,2023-12-06
 20/11/2566,2023-11-20
 20/11/2566,2023-11-20
 18/9/2566,2023-09-18
2563-04-01 00:00:00,2020-04-01
2564-08-30 00:00:00,2021-08-30
2564-09-17 00:00:00,2021-09-17
2564-08-24 00:00:00,2021-08-24
2564-08-25 00:00:00,2021-08-25
